pvs,r_frames_4k,r_frames_1080,mean_v0_4k,mean_v1_4k,range_v0_4k,range_v1_4k,res_label,codec,crf,src
Aerial3200_1920x1080_5994_10bit_420__640x360__av1__crf20,0.982700798980306,0.980097394685852,81.22316573076924,75.61501419230768,15.353230999999994,14.029529999999994,360p,av1,20,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__av1__crf30,0.9860315204959287,0.9847102247876003,79.36584246153845,72.26639123076924,17.084638999999996,16.36511999999999,360p,av1,30,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__av1__crf40,0.9864669149198639,0.9858016678715721,77.00088177692308,69.0424911076923,17.70367800000001,17.021107999999998,360p,av1,40,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__av1__crf50,0.9867480756090273,0.9867954601142511,73.31769153846153,64.08969967692308,15.87843199999999,17.09217600000001,360p,av1,50,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__av1__crf60,0.9793522054142626,0.982636694955327,63.13313853846153,48.41877438461538,15.440639999999995,22.907427000000006,360p,av1,60,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__h264__crf18,0.9843419586394397,0.985915553406787,78.48451268461537,70.80259833076923,16.486497999999997,22.120337000000006,360p,h264,18,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__h264__crf23,0.9829932215347125,0.9862419434433614,72.29235089230768,59.60927265384615,17.747788,23.794476000000003,360p,h264,23,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__h264__crf28,0.9766655337329088,0.9777087194505603,61.85561795384615,42.25741924615385,16.424480000000003,25.735081000000005,360p,h264,28,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__h264__crf33,0.9798833698910033,0.974682682067276,48.5719848,20.468340961538463,14.467427,23.88295,360p,h264,33,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__h264__crf38,0.7301745684873687,0.9502235102736155,37.38431566923077,0.9772755846153846,10.781881999999996,7.119143,360p,h264,38,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__h264__crf43,,,29.72740386923077,0.0,8.480476,0.0,360p,h264,43,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__hevc__crf18,0.991925459665906,0.9906231063632701,78.79502800769231,73.72695976153845,13.807602000000003,16.56173100000001,360p,hevc,18,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__hevc__crf23,0.9839621065208773,0.9841713866866217,73.22759245384616,65.36824606923076,14.557334999999995,17.644649,360p,hevc,23,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__hevc__crf28,0.9848471023239006,0.9873381533584865,63.5218982,49.832990907692306,14.305273999999997,20.301572999999998,360p,hevc,28,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__hevc__crf33,0.9698177675723336,0.973761525564558,51.05681367692308,27.211918915384615,11.518480999999994,17.603420999999997,360p,hevc,33,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__hevc__crf38,0.8070056409246811,0.949284814959404,38.33439154615385,1.377037253846154,10.067712,6.758017,360p,hevc,38,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__hevc__crf43,,,26.871999469230772,0.0,8.36722,0.0,360p,hevc,43,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__vp9__crf20,0.9873835864528301,0.9867545023517702,81.07874149230769,76.63398073846156,12.792854000000005,15.568149000000005,360p,vp9,20,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__vp9__crf30,0.9751174828761868,0.9827366202140849,76.72444726153846,70.46740363076923,14.877302999999998,17.126332999999995,360p,vp9,30,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__vp9__crf40,0.9884194611911518,0.9924024435561085,66.74668464615385,54.702901499999996,16.943151999999998,24.167600000000007,360p,vp9,40,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__vp9__crf50,0.989855250322019,0.9922388603267963,54.342694200000004,27.639854353846154,20.250974000000006,33.305718,360p,vp9,50,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__640x360__vp9__crf60,0.9492565696853216,0.9928552269367277,41.600191284615384,4.380732384615385,18.437598,18.842907,360p,vp9,60,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__av1__crf20,0.9596334913462565,0.9503228222127166,91.33559765384616,88.52594769999999,12.904098999999988,10.045465000000007,540p,av1,20,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__av1__crf30,0.9645736243897634,0.9616199215248274,90.14935514615385,86.4189947,14.262294000000011,11.274442999999991,540p,av1,30,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__av1__crf40,0.9766283019648457,0.972995507481832,88.11173540769231,83.5347892,14.582033999999993,12.674913000000004,540p,av1,40,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__av1__crf50,0.9743614271690422,0.9770702946218862,85.09274074615384,79.22092742307692,14.340052,12.334490000000002,540p,av1,50,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__av1__crf60,0.9797396928612149,0.9868662828998293,75.91731545384616,66.35192252307694,14.541246000000001,17.373196,540p,av1,60,Aerial3200_1920x1080_5994_10bit_420
