pvs,src,codec,res_label,short_side,crf,pvs_set,bitrate_kbps,src_bitdepth,fps,v0_1080,v0_4k,v1_1d5h_2160,v1_1d5h_2160_8bit,v1_3d0h_1080
Aerial3200_1920x1080_5994_10bit_420__640x360__h264__crf38,Aerial3200_1920x1080_5994_10bit_420,h264,360p,360,38,ladder,147.522,10-bit src,59.94006309148265,11.144,37.384,0.977,0.977,4.149
Aerial3200_1920x1080_5994_10bit_420__640x360__h264__crf43,Aerial3200_1920x1080_5994_10bit_420,h264,360p,360,43,ladder,84.086,10-bit src,59.94006309148265,5.242,29.727,0.0,0.0,0.0
Aerial3200_1920x1080_5994_10bit_420__640x360__hevc__crf18,Aerial3200_1920x1080_5994_10bit_420,hevc,360p,360,18,ladder,1660.544,10-bit src,59.94006309148265,70.17,78.795,73.727,73.727,74.942
Aerial3200_1920x1080_5994_10bit_420__640x360__hevc__crf23,Aerial3200_1920x1080_5994_10bit_420,hevc,360p,360,23,ladder,801.914,10-bit src,59.94006309148265,61.192,73.228,65.368,65.368,67.314
Aerial3200_1920x1080_5994_10bit_420__640x360__hevc__crf28,Aerial3200_1920x1080_5994_10bit_420,hevc,360p,360,28,ladder,397.927,10-bit src,59.94006309148265,45.826,63.522,49.833,49.833,52.954
Aerial3200_1920x1080_5994_10bit_420__640x360__hevc__crf33,Aerial3200_1920x1080_5994_10bit_420,hevc,360p,360,33,ladder,204.481,10-bit src,59.94006309148265,27.502,51.057,27.212,27.212,31.624
Aerial3200_1920x1080_5994_10bit_420__640x360__hevc__crf38,Aerial3200_1920x1080_5994_10bit_420,hevc,360p,360,38,ladder,108.411,10-bit src,59.94006309148265,12.049,38.334,1.377,1.377,5.171
Aerial3200_1920x1080_5994_10bit_420__640x360__hevc__crf43,Aerial3200_1920x1080_5994_10bit_420,hevc,360p,360,43,ladder,65.003,10-bit src,59.94006309148265,2.121,26.872,0.0,0.0,0.0
Aerial3200_1920x1080_5994_10bit_420__640x360__vp9__crf20,Aerial3200_1920x1080_5994_10bit_420,vp9,360p,360,20,ladder,2889.515,10-bit src,59.94006309148265,73.456,81.079,76.634,76.634,77.579
Aerial3200_1920x1080_5994_10bit_420__640x360__vp9__crf30,Aerial3200_1920x1080_5994_10bit_420,vp9,360p,360,30,ladder,1386.504,10-bit src,59.94006309148265,66.487,76.724,70.467,70.467,71.974
Aerial3200_1920x1080_5994_10bit_420__640x360__vp9__crf40,Aerial3200_1920x1080_5994_10bit_420,vp9,360p,360,40,ladder,621.359,10-bit src,59.94006309148265,50.84,66.747,54.703,54.703,57.471
Aerial3200_1920x1080_5994_10bit_420__640x360__vp9__crf50,Aerial3200_1920x1080_5994_10bit_420,vp9,360p,360,50,ladder,284.153,10-bit src,59.94006309148265,32.213,54.343,27.64,27.64,32.006
Aerial3200_1920x1080_5994_10bit_420__640x360__vp9__crf60,Aerial3200_1920x1080_5994_10bit_420,vp9,360p,360,60,ladder,130.53,10-bit src,59.94006309148265,15.755,41.6,4.381,4.381,8.105
Aerial3200_1920x1080_5994_10bit_420__960x540__av1__crf20,Aerial3200_1920x1080_5994_10bit_420,av1,540p,540,20,ladder,2975.656,10-bit src,59.94006309148265,87.743,91.336,88.526,88.526,88.283
Aerial3200_1920x1080_5994_10bit_420__960x540__av1__crf30,Aerial3200_1920x1080_5994_10bit_420,av1,540p,540,30,ladder,1913.619,10-bit src,59.94006309148265,85.912,90.149,86.419,86.419,86.397
Aerial3200_1920x1080_5994_10bit_420__960x540__av1__crf40,Aerial3200_1920x1080_5994_10bit_420,av1,540p,540,40,ladder,1259.905,10-bit src,59.94006309148265,82.825,88.112,83.535,83.535,83.808
Aerial3200_1920x1080_5994_10bit_420__960x540__av1__crf50,Aerial3200_1920x1080_5994_10bit_420,av1,540p,540,50,ladder,817.925,10-bit src,59.94006309148265,78.081,85.093,79.221,79.221,79.921
Aerial3200_1920x1080_5994_10bit_420__960x540__av1__crf60,Aerial3200_1920x1080_5994_10bit_420,av1,540p,540,60,ladder,374.989,10-bit src,59.94006309148265,63.632,75.917,66.352,66.352,68.214
Aerial3200_1920x1080_5994_10bit_420__960x540__h264__crf18,Aerial3200_1920x1080_5994_10bit_420,h264,540p,540,18,ladder,3725.071,10-bit src,59.94006309148265,84.89,89.272,86.282,86.282,86.273
Aerial3200_1920x1080_5994_10bit_420__960x540__h264__crf23,Aerial3200_1920x1080_5994_10bit_420,h264,540p,540,23,ladder,1656.715,10-bit src,59.94006309148265,77.347,84.478,78.75,78.75,79.493
Aerial3200_1920x1080_5994_10bit_420__960x540__h264__crf28,Aerial3200_1920x1080_5994_10bit_420,h264,540p,540,28,ladder,848.837,10-bit src,59.94006309148265,62.954,75.426,65.484,65.484,67.418
Aerial3200_1920x1080_5994_10bit_420__960x540__h264__crf33,Aerial3200_1920x1080_5994_10bit_420,h264,540p,540,33,ladder,486.126,10-bit src,59.94006309148265,41.576,61.48,45.506,45.506,48.911
Aerial3200_1920x1080_5994_10bit_420__960x540__h264__crf38,Aerial3200_1920x1080_5994_10bit_420,h264,540p,540,38,ladder,293.005,10-bit src,59.94006309148265,21.635,46.895,22.045,22.045,26.674
Aerial3200_1920x1080_5994_10bit_420__960x540__h264__crf43,Aerial3200_1920x1080_5994_10bit_420,h264,540p,540,43,ladder,164.175,10-bit src,59.94006309148265,9.983,35.874,1.006,1.006,4.267
Aerial3200_1920x1080_5994_10bit_420__960x540__hevc__crf18,Aerial3200_1920x1080_5994_10bit_420,hevc,540p,540,18,ladder,3485.764,10-bit src,59.94006309148265,85.361,89.56,87.354,87.354,87.234
Aerial3200_1920x1080_5994_10bit_420__960x540__hevc__crf23,Aerial3200_1920x1080_5994_10bit_420,hevc,540p,540,23,ladder,1633.294,10-bit src,59.94006309148265,78.864,85.375,81.391,81.391,81.879
Aerial3200_1920x1080_5994_10bit_420__960x540__hevc__crf28,Aerial3200_1920x1080_5994_10bit_420,hevc,540p,540,28,ladder,779.964,10-bit src,59.94006309148265,66.321,77.461,70.127,70.127,71.668
Aerial3200_1920x1080_5994_10bit_420__960x540__hevc__crf33,Aerial3200_1920x1080_5994_10bit_420,hevc,540p,540,33,ladder,379.92,10-bit src,59.94006309148265,47.054,65.039,51.187,51.187,54.219
Aerial3200_1920x1080_5994_10bit_420__960x540__hevc__crf38,Aerial3200_1920x1080_5994_10bit_420,hevc,540p,540,38,ladder,188.809,10-bit src,59.94006309148265,25.756,50.038,25.436,25.436,29.927
Aerial3200_1920x1080_5994_10bit_420__960x540__hevc__crf43,Aerial3200_1920x1080_5994_10bit_420,hevc,540p,540,43,ladder,97.442,10-bit src,59.94006309148265,8.141,34.328,0.007,0.007,0.791
Aerial3200_1920x1080_5994_10bit_420__960x540__vp9__crf20,Aerial3200_1920x1080_5994_10bit_420,vp9,540p,540,20,ladder,5944.254,10-bit src,59.94006309148265,87.724,91.26,89.014,89.014,88.718
Aerial3200_1920x1080_5994_10bit_420__960x540__vp9__crf30,Aerial3200_1920x1080_5994_10bit_420,vp9,540p,540,30,ladder,2831.527,10-bit src,59.94006309148265,82.62,87.932,84.67,84.67,84.826
Aerial3200_1920x1080_5994_10bit_420__960x540__vp9__crf40,Aerial3200_1920x1080_5994_10bit_420,vp9,540p,540,40,ladder,1243.747,10-bit src,59.94006309148265,69.948,79.771,72.399,72.399,73.728
Aerial3200_1920x1080_5994_10bit_420__960x540__vp9__crf50,Aerial3200_1920x1080_5994_10bit_420,vp9,540p,540,50,ladder,531.614,10-bit src,59.94006309148265,50.789,67.474,49.385,49.385,52.515
Aerial3200_1920x1080_5994_10bit_420__960x540__vp9__crf60,Aerial3200_1920x1080_5994_10bit_420,vp9,540p,540,60,ladder,227.264,10-bit src,59.94006309148265,29.093,52.465,20.047,20.047,24.736
Boat_1920x1080_5994_10bit_420__1280x720__av1__crf20,Boat_1920x1080_5994_10bit_420,av1,720p,720,20,ladder,17811.846,10-bit src,59.94006309148265,95.438,96.323,97.491,97.491,96.26
